City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,bacolod,10.67,122.95,88.16,64,100,4.23,PH,1593052684
344,sfantu gheorghe,45.87,25.78,59.0,88,0,2.21,RO,1593052684
345,monduli,-3.3,36.45,60.8,93,75,8.05,TZ,1593052684
346,jining,35.41,116.58,88.38,48,0,7.0,CN,1593052684
347,roald,62.58,6.13,59.0,93,28,9.17,NO,1593052684
348,cururupu,-1.83,-44.87,75.0,88,10,2.98,BR,1593052685
349,arrecife,28.96,-13.55,73.4,69,90,17.22,ES,1593052685
350,smithers,54.78,-127.17,69.8,28,40,12.75,CA,1593052685
351,hasaki,35.73,140.83,66.99,100,75,10.29,JP,1593052561
352,bonavista,48.65,-53.11,59.4,96,29,14.29,CA,1593052686
353,sebinkarahisar,40.29,38.42,55.17,81,4,2.28,TR,1593052686
354,lompoc,34.64,-120.46,62.6,77,26,11.41,US,1593052686
355,tiksi,71.69,128.87,63.95,45,21,7.67,RU,1593052686
356,maragogi,-9.01,-35.22,75.0,86,0,10.36,BR,1593052686
357,pedernales,18.04,-71.74,81.34,74,3,4.14,DO,1593052686
358,carnarvon,-24.87,113.63,68.0,45,0,9.17,AU,1593052686
359,temir,49.14,57.13,68.43,54,100,0.89,KZ,1593052686
360,afua,-0.16,-50.39,75.58,93,36,5.26,BR,1593052686
361,necochea,-38.55,-58.74,46.0,91,100,8.72,AR,1593052649
362,funtua,11.52,7.31,74.62,71,97,11.23,NG,1593052686
363,vestmannaeyjar,63.44,-20.27,49.78,91,2,1.88,IS,1593052686
364,marsa matruh,31.35,27.25,69.8,83,20,5.82,EG,1593052686
365,naze,28.37,129.48,86.0,84,75,13.87,JP,1593052686
366,indianola,41.36,-93.56,75.2,47,20,4.7,US,1593052686
367,dublin,37.7,-121.94,75.99,60,1,9.17,US,1593052414
368,silver city,32.77,-108.28,78.8,24,1,4.7,US,1593052687
369,bellavista,-7.06,-76.59,71.96,89,93,1.07,PE,1593052687
370,cockburn town,21.46,-71.14,82.65,80,2,16.26,TC,1593052688
371,tsumeb,-19.23,17.72,49.84,47,0,9.64,NA,1593052688
372,anzio,41.49,12.62,71.01,87,0,1.01,IT,1593052688
373,praia,14.92,-23.51,77.0,78,8,14.99,CV,1593052437
374,pevek,69.7,170.31,33.03,93,100,5.1,RU,1593052688
375,abu dhabi,24.47,54.37,89.6,79,6,1.12,AE,1593052519
376,baracoa,20.35,-74.5,79.99,82,31,11.61,CU,1593052688
377,aragats,40.49,44.35,66.2,59,0,4.7,AM,1593052688
378,segezha,63.74,34.32,55.26,96,99,4.81,RU,1593052688
379,narsaq,60.92,-46.05,42.8,87,100,3.36,GL,1593052688
380,ambam,2.38,11.28,68.72,98,99,2.82,CM,1593052688
381,nemuro,43.32,145.57,55.4,87,75,10.29,JP,1593052688
382,itoman,26.12,127.67,86.0,83,75,13.87,JP,1593052688
383,morondava,-20.28,44.28,70.05,90,0,8.97,MG,1593052688
384,kojori,41.66,44.7,69.8,73,75,29.97,GE,1593052688
