City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,talas,38.69,35.55,68.0,64,0,3.36,TR,1593729507
132,ribeira grande,38.52,-28.7,67.53,79,0,6.13,PT,1593729507
133,coihaique,-45.58,-72.07,41.0,86,75,4.7,CL,1593729507
134,dikson,73.51,80.55,46.15,76,13,10.54,RU,1593729507
135,cidreira,-30.18,-50.21,48.97,72,0,10.58,BR,1593729507
136,kieta,-6.22,155.63,85.37,60,6,2.04,PG,1593729507
137,necochea,-38.55,-58.74,46.0,93,92,1.99,AR,1593729507
138,margate,51.38,1.39,62.01,84,7,1.99,GB,1593729508
139,alice springs,-23.7,133.88,41.0,75,43,14.61,AU,1593729508
140,udayagiri,20.13,84.38,74.37,93,66,1.48,IN,1593729508
141,la rioja,42.25,-2.5,62.6,67,90,6.93,ES,1593729508
142,port macquarie,-31.43,152.92,55.0,90,0,4.12,AU,1593729508
143,pisco,-13.7,-76.22,64.99,72,11,9.17,PE,1593729435
144,oxford,51.75,-1.26,59.0,87,75,4.7,GB,1593729508
145,galveston,29.37,-94.97,93.0,70,1,13.87,US,1593729508
146,hailar,49.2,119.7,69.12,63,49,5.17,CN,1593729508
147,chuy,-33.7,-53.46,45.0,87,83,7.2,UY,1593729508
148,hereford,52.06,-2.71,55.99,80,52,4.29,GB,1593729293
149,hofn,64.25,-15.21,46.09,74,49,3.76,IS,1593729508
150,tuktoyaktuk,69.45,-133.04,41.0,93,90,13.87,CA,1593729508
151,cabo san lucas,22.89,-109.91,86.0,69,40,9.17,MX,1593729409
152,serebryansk,49.69,83.29,69.8,60,75,11.18,KZ,1593729508
153,saint george,37.1,-113.58,96.8,11,1,19.46,US,1593729457
154,udachnyy,66.42,112.4,50.0,76,90,8.95,RU,1593729509
155,alofi,-19.06,-169.92,75.2,94,75,18.34,NU,1593729509
156,laguna,38.42,-121.42,89.01,27,1,10.29,US,1593729509
157,arraial do cabo,-22.97,-42.03,69.8,68,75,4.7,BR,1593729509
158,provideniya,64.38,-173.3,46.4,93,75,15.66,RU,1593729509
159,kalmunai,7.42,81.82,79.16,84,100,8.72,LK,1593729509
